,Station,Station_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,TIME,PM
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,20,2
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,13,1
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,3,2
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,19,2
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,22,2
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,22,1
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,12,1
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,21,0
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,7,0
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,4,1
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,22,1
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,10,0
0,PS 19,1,0.010300 ,0.159200 ,0.098600 ,0.413500 ,0.037200 ,0.003600 ,0.017600 ,0.147100 ,0.087700 ,0.004000 ,0.021000 ,0.000300 ,0.081381 ,20,1
