,Station_ID,PM2.5,pm1,pm2,pm3,l1,l2,l3,r1,r2,r3,d1,d2,d3
0,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.902967876856,0.662370791136,0.869167262979,0.658182700473,0.663554678582,33939.7661037,6413.8206612,45832.6698493
1,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.902967876856,0.00898100842084,0.869167262979,0.658182700473,0.734963152951,33939.7661037,6413.8206612,33689.2760997
2,0.0,1.0,0.0,1.0,2.0,0.482903634688,0.902967876856,0.110325210492,0.869167262979,0.658182700473,1.09895615303,33939.7661037,6413.8206612,20320.1481707
3,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.902967876856,-0.175773286093,0.869167262979,0.658182700473,1.4409582662,33939.7661037,6413.8206612,55163.7082202
4,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.902967876856,-0.223975272141,0.869167262979,0.658182700473,2.31636922551,33939.7661037,6413.8206612,87838.4928124
5,0.0,1.0,0.0,1.0,2.0,0.482903634688,0.902967876856,-0.352091114449,0.869167262979,0.658182700473,1.02386643853,33939.7661037,6413.8206612,41504.8656071
6,0.0,1.0,0.0,1.0,0.0,0.482903634688,0.902967876856,0.365700150866,0.869167262979,0.658182700473,0.872465881193,33939.7661037,6413.8206612,38730.8556608
7,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.902967876856,0.631509958808,0.869167262979,0.658182700473,0.867425574777,33939.7661037,6413.8206612,42580.4214871
8,0.0,1.0,0.0,1.0,0.0,0.482903634688,0.902967876856,0.0444538897516,0.869167262979,0.658182700473,1.35741330709,33939.7661037,6413.8206612,44788.0428176
9,0.0,1.0,0.0,1.0,2.0,0.482903634688,0.902967876856,-0.116271568053,0.869167262979,0.658182700473,0.878996370863,33939.7661037,6413.8206612,25333.8645109
10,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.662370791136,0.00898100842084,0.869167262979,0.663554678582,0.734963152951,33939.7661037,45832.6698493,33689.2760997
11,0.0,1.0,0.0,1.0,2.0,0.482903634688,0.662370791136,0.110325210492,0.869167262979,0.663554678582,1.09895615303,33939.7661037,45832.6698493,20320.1481707
12,0.0,1.0,0.0,1.0,1.0,0.482903634688,0.662370791136,-0.175773286093,0.869167262979,0.663554678582,1.4409582662,33939.7661037,45832.6698493,55163.7082202
