Station_ID,Station,Road_Length
1,PS 19,"81,381.46"
2,CCNY,"93,631.16"
3,Division Street,"123,645.41"
4,IS 143,"122,644.40"
5,PS 314,"110,727.88"
6,PS 274,"74,053.37"
7,Port Richmond,"56,477.47"
8,Fresh Kills,"35,132.68"
9,IS 74,"79,483.67"
10,IS 52,"93,277.43"
11,Morrisania,"93,818.83"
12,Queens College,"59,953.00"
14,Maspeth,"92,584.01"
